"alias_id","alias","provider_id","mapped_product","product_id"
47072,"192 PROOF GNS ETHANOL",,Ethanol,1474
47073,UNDENATURED ANHYDROUS B GRADE ETHANOL,,Ethanol,1474
47074,ANHYDROUS B GRADE ETHANOL,,Ethanol,1474
47075,HYDROUS EXTRA NEUTRAL 95 PCT MIN,,Ethanol,1474
47078,UNDENATU RED ETHYL ALCOHOL,,Ethanol,1474
47079,DENATURED ANHYDROUS ETHANOL,,Ethanol,1474
47080,UNDENATURED EI'HYL ALCOHOL,,Ethanol,1474
47081,UNDENATURATED ANHYDROUS ETHANOL,,Ethanol,1474
47082,ANHDROUS BIO-ETHANOL,,Ethanol,1474
47083,UNDENATURED CORN ETHANOL,,Ethanol,1474
47084,UNDENATURED 12 BIO ETHANOL,,Ethanol,1474
47087,UNDENATURED ETHANOL ALCOHOL,,Ethanol,1474
47088,DENATURED 190 PROOF ETHANOL,,Ethanol,1474
47089,ANHYDROUS UNDENATURED ETHANOL,,Ethanol,1474
47090,ANHYDROUS ETHANOL B-GRADE,,Ethanol,1474
47091,UNDENATURATED ETHANOL,,Ethanol,1474
47092,ETHYL ALCOHOL (ALCOHOL ANIHIDRO),,Ethanol,1474
47093,UNDENATURED ANHYDROUS SYNTHETIC ETHYL ALCOHOL,,Ethanol,1474
47094,ETHANOL DENATURED ETHYL ALCOHOL,,Ethanol,1474
47095,DENATURED GNS,,Ethanol,1474
47097,ANYDROUS BIO-ETHANOL,,Ethanol,1474
47098,DENATURATED ETHANOL,,Ethanol,1474
47099,ETHANOL DENATURED,,Ethanol,1474
47100,UNDENATURED ANHYDROUS ETHYL ALCHOL,,Ethanol,1474
47101,UNDENATURED NEUTRAL ETHANOL,,Ethanol,1474
47103,ANHYDROUS ETHYL ALCOHOL,,Ethanol,1474
47104,DENATURED ANYDROUS ETHANOL,,Ethanol,1474
47105,UNDENATURED ANHYDROUS ETHLY ALCOHOL,,Ethanol,1474
47108,UNDENATURED HYDROUS ETHANOL,,Ethanol,1474
47113,UNDENATURED ANHYDOUS ETHYL ALCOHOL,,Ethanol,1474
47114,DENATURED ANHYDROUS ETHYL ALCOHOL,,Ethanol,1474
47115,DENATURED ETHANOL BY BLEND,,Ethanol,1474
47116,UNDENATURED 190 PROOF GNS ETHANOL,,Ethanol,1474
47117,HYDROUS EXTRA NEUTRAL 95 PCT,,Ethanol,1474
47118,UNDENATURED 190 PROOF GNS,,Ethanol,1474
47120,DENATURED HYDROUS EXTRA NEUTRAL ALCOHOL,,Ethanol,1474
47121,DENATURED SYNTHETIC ETHYL ALCOHOL,,Ethanol,1474
47123,UNDENATURED EN GRADE ETHANOL,,Ethanol,1474
47125,J GRADE ETHANOL,,Ethanol,1474
47126,DENATURED EHTYL ALCOHOL,,Ethanol,1474
47128,UNDENATURED ANHYDROUS ALCOHOL,,Ethanol,1474
47132,HYDROUS ETHANOL,,Ethanol,1474
47137,PURE ETHYL ALCOHOL 96%,,Ethanol,1474
47138,EXTRA NEUTRAL ALCOHOL,,Ethanol,1474
47139,UNDENATURED T1 ETHANOL,,Ethanol,1474
116242,diesel (ulsd 10 ppm ice) parcel 1,,Ultra Low Sulfur Diesel,2326
47141,ANHYDROUS BIO-ETHANOL,,Ethanol,1474
47142,SDA 40B ETHANOL,,Ethanol,1474
47143,ALCOHOL ANHIDRO,,Ethanol,1474
47145,ETHANOL (ANHYDROUS),,Ethanol,1474
47146,ANHYDROUS BIOETHANOL,,Ethanol,1474
47148,UNDENATURED BIO ETHANOL,,Ethanol,1474
47151,UNDENATURED ANHYDROULS ETHYL ALCOHOL,,Ethanol,1474
47153,UNDENATURED ANHYDROUS ETHYL,,Ethanol,1474
47154,ANHYDROUS UNDENATURED ETHYL ALCOHOL,,Ethanol,1474
12625,rbob 11.5,,RBOB,2092
100669,GASOLINE HTS 38000,,Gasoline,1534
69211,"84OI GASOLINE",,"84 Gasoline",1006
105093,NAPHTHA (LCN),,Light Catalytic Naphtha,1724
100670,GASOLINE 10000,,Gasoline,1534
98191,V.NAPTHA,,Virgin Naphtha,2376
77255,HIGH SPEED DIESEL OIL 50,4877,Ultra Low Sulfur Diesel,2326
47159,DENATURED 190 PROOF GNS ETHANOL,,Ethanol,1474
47160,ANHYDROUS ETHANOL DENATURED WITH MINIMUM 1.96% OF GASOLINE,,Ethanol,1474
47161,"EXTRA NEUTRAL ETHYL ALCOHOL, 96% VOL.",,Ethanol,1474
47162,UN DENATURED ETHANOL,,Ethanol,1474
47163,DENATURED 190 PROOF GNS,,Ethanol,1474
47165,UNDENATURED ANHYDROUS ETHANOL,,Ethanol,1474
47170,NEUTRAL ETHANOL 96 PERCENT MIN,,Ethanol,1474
47171,ETHANOL ANHIDRO,,Ethanol,1474
47172,CAT Z DENATURED ETHANOL,,Ethanol,1474
47173,CRUDE DENATURED ETHYL ALCOHOL IN BULK,,Ethanol,1474
47174,ETHANOL ANHYROUS UNDENATURED,,Ethanol,1474
47175,CAT Z ETHYL ALCOHOL,,Ethanol,1474
47177,ANHDROUS ETHANOL,,Ethanol,1474
47179,ALCOHOL ANHIFRO,,Ethanol,1474
47180,DENATURED 200 PROOF GNS ETHANOL,,Ethanol,1474
47181,NEUTRAL ETHYL ALCOHOL FROM CORN,,Ethanol,1474
47182,ETHANOL UNDENATURED,,Ethanol,1474
47183,UNDENATURED ANHYDROUS ETHYL ALCOHOL,,Ethanol,1474
47184,UNDENATURED ANYHYDROUS ETHANOL,,Ethanol,1474
47185,PURE ETHYL ALCOHOL,,Ethanol,1474
47187,CBM ETHANOL,,Ethanol,1474
47188,GASOIL NCM,,Gasoil,1510
47189,GASOIL NO 2,,Gasoil,1510
47190,GAS OIL NCM 2710 19,,Gasoil,1510
47192,GASOIL REGULAR - HSD,,Gasoil,1510
47193,GASOIL 45CI,,Gasoil,1510
47194,GASOIL N.C.M.: 2710.19,,Gasoil,1510
47195,GASOIL REGULAR HSD,,High Sulfur Gasoil,1604
47196,GASOIL REGULAR,,Gasoil,1510
47197,GAS/OIL,,Gasoil,1510
47198,GAS OIL NCM 2710 - 19,,Gasoil,1510
47199,GASOIL NCM 2710.19,,Gasoil,1510
47200,ATM. GAS OIL,,Gasoil,1510
47201,"83 BOB 7.4LOINT",,"83 Gasoline",1004
47202,CBOB CANADIAN GASOLINE 60 KPA,,CBOB,1294
47203,MONTREAL CBOB,,CBOB,1294
47204,"83 BOB GASOLINE",,"83 Gasoline",1004
47205,UNL GASOLINE,,Gasoline,1534
47206,CANADIAN REGULAR CBOB,,CBOB,1294
47207,BRAZIL GASOLINE A,,Gasoline,1534
47208,GASOLINE 86 RON,,"85 Gasoline",1008
47209,A GRADE UNLEADED GASOLINE,,Gasoline,1534
47210,UNLEADED GASOLINE 88R,,"88 Gasoline",1012
47211,BRAZILIAN GASOLINE,,Gasoline,1534
47212,BRAZILIAN RUL,,Gasoline,1534
47213,UNL 86 CANADIAN CBOB,,CBOB,1294
47214,ALKYLATE UNLEADED GASOLINE,,Gasoline,1534
47215,CANADIAN CBOB,,CBOB,1294
47216,CANBOB,,CBOB,1294
47217,BRAZIL GASOLINE,,Gasoline,1534
47218,"83 BOB",,"83 Gasoline",1004
47219,CANADAIN BOB,,CBOB,1294
47220,CANADA CBOB,,CBOB,1294
47222,GASOLINE MCR,,Gasoline,1534
69215,GASOLINA 93 RON RM,,"93 Gasoline",1022
105094,LVN NAPHTHA,,Light Virgin Naphtha,1738
47223,BRAZIL A GRADE UNLEADED GASOLINE,,Gasoline,1534
118722,C9+ AROMATICS,,Pyrolysis Gasoline,2062
105171,UG 97R,,"97 Gasoline",1028
69224,GASOLINE 80.5 RON,,"80 Gasoline",1002
105245,"CRUDE FERMENTATION ETHYL ALCOHOL MADE FROM SUGAR CANE OF ITS MOLASSES ONLY, IN BULK",,Ethanol,1474
105172,UG95R,,"95 Gasoline",1024
69233,ADOBO,,Diesel,1394
77256,GASOLINE AUSTRALIA 91 RON,,"91 Gasoline",1018
69234,AUTOMOTIVE DIESEL OIL (ADO),,Diesel,1394
100671,GASOLINE 31180,,Gasoline,1534
77257,RAW PYROLYSIS GASOLINE,,Pyrolysis Gasoline,2062
47224,GASOLINA COMUN TIPO A,,Gasoline,1534
47225,CBOB 62 KPA GASOLINE,,CBOB,1294
47226,CANADIAN CBOB GASOLINE,,CBOB,1294
47227,CBOB UNLEADED GASOLINE,,CBOB,1294
47228,GASOLINE UNLEADED 88R,,"88 Gasoline",1012
47229,ULEADED GASOLINE,,CBOB,1294
47230,CBOB UNLEADED,,CBOB,1294
47231,BRAZIL A GRADE UNLEADED GAS,,CBOB,1294
47232,GASOLINE UNL,,"87 Gasoline",1010
47233,"83BOB",,"83 Gasoline",1004
47234,CBOB CANADIAN GASOLINE 58 KPA,,CBOB,1294
47235,CBOB 84 KPA GASOLINE,,CBOB,1294
47236,"83B0B9.91NT GASOLINE",,"83 Gasoline",1004
47237,GASOLINA A,,CBOB,1294
47238,REGULAR- CBOB CANADIAN GASOLINE 60 KPA,,CBOB,1294
47239,"83B0B GASOLINE",,"83 Gasoline",1004
47240,"83B0B8.6INT",,"83 Gasoline",1004
47241,MOGAS REG,,CBOB,1294
47242,REGULAR UNLEADED LOW SULFUR GASOLINE,,CBOB,1294
47243,BRAZILIAN REGULAR GASOLINE,,CBOB,1294
47244,"83 BOB 8.61NT",,"83 Gasoline",1004
47245,"83BOB GASOLINE",,"83 Gasoline",1004
75770,METHYL TERTIARY BUTYL ETHER [ MTBE ],10,MTBE,1872
47247,GASOLINE S50,,CBOB,1294
47248,ALKYLATE GASOLINE,,Alkylate,1060
47249,GASOLINE CBOB 62 KPA,,CBOB,1294
47250,GASOLINE 250,,CBOB,1294
47251,BRAZILIAN PODIUM GASOLINE,,CBOB,1294
47252,GASOLINE TYPE A,,CBOB,1294
47253,"83 BOB GAS",,"83 Gasoline",1004
47254,CBOB CANADIAN GASOLINE 50 KPA,,CBOB,1294
47255,UNLEADED RUL GASOLINE,,CBOB,1294
47257,REGULAR CBOB,,CBOB,1294
47258,UNLEADED GASOLINE 92R,,"92 Gasoline",1020
47259,BRAZIL GRADE GASOLINE,,CBOB,1294
47260,PODIUM GASOLINE,,Gasoline,1534
47261,MEXICO CITY GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47262,C5/C7 GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47263,HIGH OCTANE GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47264,REGULAR UNLEADED BLENDSTOCK,,Gasoline Blendstock,1536
47265,BLENDSTOCK COMPONENT,,Gasoline Blendstock,1536
47266,GASOLINE GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47267,HIGH OCTANE GASOLINE BLEND STOCK (HOGBS),,Gasoline Blendstock,1536
47268,MEXICO CITY BLENDSTOCK,,Gasoline Blendstock,1536
47269,UNLEADED GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47270,HOGBS RON 97.5,,Gasoline Blendstock,1536
47271,MEXICO CITY PREMIUM GASOLINE,,CBOB Premium,1296
47272,MEXICO CITY REGULAR GASOLINE,,CBOB Regular,1298
47273,BLENDSTOCK COMPONENT 91 RON,,Gasoline Blendstock,1536
47274,MEXCO CITY BLENDSTOCK GASOLINE,,Gasoline Blendstock,1536
47275,HIGH OCTANE GASOLINE BLEND COMPONENT,,Gasoline Blendstock,1536
47276,MEXICO CITY BLENDSTOCK GASOLINE,,Gasoline Blendstock,1536
47277,HIGH OCTANE GASOLINE BLENDSTOCK (97.5),,Gasoline Blendstock,1536
47278,MOTOR FUEL BLENDING STOCK,,Gasoline Blendstock,1536
47279,HIGH OCTANE GASOLINE BLENDDSTOCK,,Gasoline Blendstock,1536
47280,REGULAR UNLEADED GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47281,HIGH OCTANE GASOLINE BLEND STOCK (RON98),,Gasoline Blendstock,1536
47282,MEXICO CITY REGULAR BLENDSTOCK GASOLINE,,Gasoline Blendstock,1536
47283,HIGH OCTANE GASOLINE BLEND STOCK RON 98,,Gasoline Blendstock,1536
47284,EXPORT BLENDSTOCK,,Gasoline Blendstock,1536
47285,"BLENDSTOCK, BHC",,Gasoline Blendstock,1536
47286,MEXICO CITY REGULAR GASOLINE BLEND STOCK,,Gasoline Blendstock,1536
47287,MEXICO CITY GASOLINE BLENDSTOCK UN1203,,Gasoline Blendstock,1536
47288,SUBOCTANE FEEDSTOCK,,Gasoline Blendstock,1536
47289,MEXICO CITY REGULAR FINISHED GRADE F GRADE,,CBOB,1294
47290,REGULAR BLENDSTOCK,,Gasoline Blendstock,1536
47291,HIGH OCTANE GASOLINE BLEND,,Gasoline Blendstock,1536
47292,BLEND STOCK COMPONENT 91 RON,,Gasoline Blendstock,1536
47293,GBS,,Gasoline Blendstock,1536
47294,GASOLINE COMPONENT,,Gasoline Blendstock,1536
47295,MEXICO CITY REGULAR GASOLINE BLENDSTOCK,,Gasoline Blendstock,1536
47296,HIGH OCTANE GASOLINE,,CBOB Premium,1296
47297,MEXICO CITY PREMIUM,,CBOB Premium,1296
47298,MEXICO CITY GASOLINE BLENDSTOCK (UN 1203),,Gasoline Blendstock,1536
47299,BLENDSTOCK GASOLINE,,Gasoline Blendstock,1536
47300,GASOIL BLENDSTOCK,,Distillate Blendstock,1402
47301,MEXICO CITY REGULAR,,CBOB,1294
47302,GASOLINE COMPONENT WITH OXYGENATE,,Gasoline Blendstock,1536
47303,MEXICO CITY REGULAR BLENDSTOCK,,Gasoline Blendstock,1536
47304,PREMIUM BLENDSTOCK GASOLINE,,Gasoline Blendstock,1536
47305,PREMIUM BLENDSTOCK,,Gasoline Blendstock,1536
47306,REGULAR GASOLINE BLENDSTOCK (UN 1203,,Gasoline Blendstock,1536
47307,ULTRA LOW SULPHUR HEAITNG OIL,,Ultra Low Sulfur Heating Oil,2330
47308,HEATING OIL WITH 2% BIO MIN,,Heating Oil,1582
